Country,Australia,Austria,Belgium,Canada,Chile,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Israel,Italy,Japan,South Korea,Latvia,Luxembourg,Mexico,Netherlands,New Zealand,Norway,Poland,Portugal,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Turkey,United Kingdom,USA,Brazil,Russia,South Africa,OECD Average
Household net adjusted disposable income in usd,33417,32544,29968,29850,16588,21103,28950,18665,29374,31137,33652,17002,16821,30453,25439,24036,26063,28641,21723,15269,41317,13891,28783,24366,35739,18906,20519,20265,20505,23129,30553,36378,17067,28408,44049,12227,16657,10872,30563
Household net financial wealth in usd,57462,59574,104084,85758,21409,24258,73543,16967,27972,59479,57358,18117,23289,64398,43493,61805,64019,97595,33495,17105,74141,4750,90002,52718,20347,14997,31877,10846,20048,35443,90708,128415,4429,83405,176076,7102,2260,17042,90570
Long-term unemployment rate as pct,1.36,1.94,3.98,0.81,2.02,1.71,1.35,2.13,2.33,4.33,1.68,16.95,2.42,0.26,4.72,0.46,6.82,1.24,0.03,3.73,1.9,0.08,2.56,0.72,0.59,2.14,6.14,5.46,4.26,9.49,1.17,1.94,2.24,1.32,0.65,3.37,1.64,15.57,2.04
Personal earnings in usd,52063,48295,49587,48403,28434,23722,52580,23621,42127,42992,46389,25124,21711,55984,51681,34023,35397,39113,32399,22389,62636,15311,52833,39397,53643,25921,24529,23508,34965,37333,42816,60124,22848,42835,60154,14024,22101,11554,44290
Quality of support network as pct,94,92,92,93,84,89,95,90,95,88,92,82,84,98,96,87,91,90,76,86,92,80,90,95,94,89,87,91,91,95,92,94,86,93,90,90,90,88,89
Educational attainment as pct,80,85,75,91,65,93,81,89,88,78,86,72,83,78,80,87,60,94,87,89,79,37,77,77,82,91,47,92,87,58,83,87,39,81,90,49,95,43,74
Years in education in yrs,21.2,17.1,18.2,16.7,17.3,17.3,19.7,15.8,19.8,16.5,18.3,16.9,16.6,19.3,18.7,15.8,16.4,16.4,17.4,17.9,15.1,14.8,18.7,17.8,18.1,17.7,17.1,15.9,18.1,17.9,19.2,17.5,17.9,16.8,17.1,15.9,16.1,15.3,17
Air pollution in ugm3,5,16,15,7,16,20,9,8,6,13,14,18,19,3,7,21,18,14,28,11,12,16,14,5,5,22,10,21,16,11,6,15,20,11,10,10,15,22,14
Water quality as pct,92,93,84,91,69,87,94,82,94,82,93,69,76,99,82,67,71,86,78,77,85,67,93,90,96,80,87,82,89,73,95,96,63,85,84,72,54,69,81
Voter turnout as pct,91,75,89,68,49,59,86,64,69,75,72,64,62,79,65,72,75,53,77,59,91,63,82,77,78,55,56,60,52,70,86,49,85,69,68,79,65,73,69
Life expectancy in yrs,82.5,81.3,81.1,81.5,79.1,78.7,80.8,77.7,81.6,82.4,80.7,81.1,75.7,82.5,81.5,82.1,82.6,83.9,82.1,74.6,82.4,75,81.6,81.7,82.4,77.6,81.2,76.7,80.9,83,82.3,83,78,81,78.8,74.7,71.3,57.4,80.1
Self-reported health as pct,85,70,75,88,57,61,72,51,70,68,65,74,56,76,82,84,66,35,33,46,70,66,76,88,78,58,46,66,65,72,80,80,66,70,88,70,43,67,69
Life satisfaction as avg score,7.3,7,6.9,7.3,6.7,6.6,7.5,5.6,7.5,6.4,7,5.2,5.3,7.5,7,7.2,5.9,5.9,5.9,5.9,6.9,6.6,7.4,7.3,7.5,6,5.2,6.1,5.8,6.4,7.3,7.5,5.5,6.7,6.9,6.6,6,4.8,6.5
Homicide rate as rat,1,0.4,1,1.4,4.5,0.8,0.7,3.1,1.4,0.6,0.4,1,1.2,0.9,0.6,1.7,0.8,0.3,1.1,6.6,0.6,17.9,0.6,1.3,0.6,0.8,1,0.8,0.6,0.6,1,0.5,1.7,0.2,4.9,27.6,11.3,10,3.6
Time devoted to leisure and personal care in hrs,14.35,14.55,15.77,14.41,14.9,15.06,15.87,14.9,15.17,16.36,15.55,14.67,15.06,14.15,15.28,13.93,14.89,14.85,14.7,13.83,15.15,12.74,15.9,14.87,15.56,14.42,14.89,15.01,14.75,15.93,15.18,15.02,12.59,14.92,14.44,14.45,14.9,14.73,14.9
